id,name
28735,Accountancy
28885,Accounting
28886,Admin and Secretarial
28880,Admin and Secretarial 
28732,Advertising and PR
28739,Aerospace
28736,Agriculture Fishing and Forestry
28887,Airlines/Aviation
28888,Alternative Dispute Resolution
28889,Alternative Medicine
28890,Animation
28891,Apparel & Fashion
28892,Architecture & Planning
28737,Arts
28893,Arts and Crafts
28738,Automotive
28894,Aviation & Aerospace
28768,Banking
28895,Banking/Mortgage
28896,Biotechnology
28897,Broadcast Media
28767,Building and Construction
28898,Building Materials
28899,Business Services
28900,Business Supplies and Equipment
28803,Call Centre and Customer Service
28901,Capital Markets
28902,Chemicals
28903,Civic & Social Organization
28904,Civil Engineering
28905,Commercial Real Estate
28742,Community Services
28907,Computer Games
28884,Computer Hardware
28908,Computer Networking
28906,Computer & Network Security
28910,Computers & Electronics
28909,Computer Software
28911,Construction
28804,Consultancy
28912,Consumer Electronics
28913,Consumer Goods
28914,Consumer Services
28915,Cosmetics
28916,Dairy
28811,Defense and Military
28917,Defense & Space
28918,Design
28883,Design and Creative
28919,Education
28777,Education and Training
28920,Education Management
28921,E-Learning
28922,Electrical/Electronic Manufacturing
28881,Electronics
28923,"Energy Utilities & Mining
"
28882,Engineering
28924,Entertainment
28925,Environmental Services
28926,Events Services
28927,Executive Office
28928,Facilities Services
28929,Farming
28815,Fashion
28776,Financial Services
28930,Fine Art
28931,Fishery
28813,FMCG
28932,Food & Agriculture
28933,Food & Beverages
28935,Food/Beverages
28934,Food Production
28936,Fund-Raising
28937,Furniture
28938,Gambling & Casinos
28939,"Glass Ceramics & Concrete
"
28940,Government
28941,Government Administration
28942,Government Relations
28750,Graduates and Trainees
28943,Graphic Design
28817,Health and Safety
28945,"Healthcare Pharmaceuticals & Biotech

"
28944,"Health Pharmaceuticals
 Wellness and Fitness
"
28946,Higher Education
28947,Higher Education/Acadamia
28784,Hospital and Catering
28948,Hospital & Health Care
28949,Hospitality
28950,Human Resources
28751,Human Resources and Personnel
28951,Human Resources/HR
28952,Import and Export
28953,Individual & Family Services
28954,Industrial Automation
28955,Information Services
28956,Information Technology and Services
28755,Insurance
28957,International Affairs
28958,International Trade and Development
28959,Internet
28960,Investment Banking
28961,Investment Management
28824,IT
28962,IT and Services
28963,Judiciary
28964,Law Enforcement
28965,Law Practice
28966,Legal
28756,Legal 
28967,Legal Services
28968,Legislative Office
28752,Leisure and Sport
28969,"Leisure Wellness and Fitness
 Travel & Tourism
"
28970,Libraries
28971,Logistics and Supply Chain
28760,"	Logistics Distribution and Supply Chain"
28972,Logistics Distribution and Supply Chain
28973,Logistics/Procurement
28974,Luxury Goods & Jewelry
28975,Luxury Goods/Jewelry
28976,Machinery
28977,Management Consulting
28978,Manufacturing
28773,Manufacturing and Production
28979,Maritime
28774,Marketing
28982,Marketing/Advertising/Sales
28981,Marketing and Advertising
28980,Market Research
28983,Mechanical or Industrial Engineering
28839,Media
28984,Media & Entertainment
28985,Media Production
28840,Medical and Nursing
28986,Medical Devices
28987,Medical Practice
28988,Mental Health Care
28790,Military
28757,Mining
28989,Mining & Metals
28990,Motion Pictures and Film
28991,Museums and Institutions
28992,Music
28993,Nanotechnology
28770,New Media and Internet
28994,Newspapers
28995,Non-Profit
28996,Nonprofit Organization Management
28997,Non-Profit/Volunteering
28733,Not for Profit and Charities
28769,Oil and Gas
28998,Oil & Energy
28999,Online Media
29000,Online Publishing
29001,Outsourcing/Offshoring
29002,Package/Freight Delivery
29003,Packaging and Containers
29004,Paper & Forest Products
29005,Performing Arts
28758,Pharmaceuticals
29006,Philanthropy
29007,Photography
29008,Plastics
29009,Political Organization
29010,Primary/Secondary Education
29011,Printing
29012,Professional Training
29013,Professional Training & Coaching
29014,Program Development
28850,Property and Housing
29015,Public Policy
28859,"	Public Relations and Communications"
29016,Public Relations and Communications
28860,"	Public Safety"
29017,Public Safety
28851,Public Sector and Government
29018,Publishing
28852,"	Purchasing and Procurement"
29019,Purchasing and Procurement
29020,Railroad Manufacture
29021,Ranching
29022,Real Estate
28853,Real Estate and Property
29023,Real Estate & Construction
29024,Real Estate/Mortgage
29025,Recreational Facilities and Services
29026,Recreational Facilities/Services
28854,Recruitment Consultancy
29027,Religious Institutions
29028,Renewables & Environment
29029,Research
29030,Research Industry
29031,Restaurants
28780,Retail
28868,Sales
28764,Science and Research
29032,Security and Investigations
29033,Semiconductors
28869,Senior Appointments
29034,Shipbuilding
28870,Social Care
29035,Software & Internet
29036,Sporting Goods
29037,Sports
29038,Staffing and Recruiting
29039,Staffing/Recruiting
28873,Supermarkets
28763,Telecommunications
29040,Textiles
29041,Think Tanks
29042,Tobacco
28872,Trade and Services
29043,Translation and Localization
28796,Transport and Rail
29044,Transportation
29045,Transportation and Storage
29046,Transportation/Trucking/Railroad
28875,Travel and Tourism
29047,"Travel Recreation & Biotech
 and Leisure

"
28778,Utilities
29048,Venture Capital & Private Equity
29049,Veterinary
29050,Warehousing
29051,Wholesale
29052,Wholesale Distribution
29053,Wine and Spirits
29054,Wireless
29055,Writing and Editing
